Level,Recommendations
['psv'],"['the', 'administration', 'should', 'look', 'into', 'the', 'possibility', 'of', 'lessening', 'the', 'teaching', 'load', 'of', 'the', 'faculty', 'and', 'to', 'arrange', 'their', 'class', 'schedule', 'for', 'them', 'to', 'be', 'more', 'effective', 'and', 'more', 'efficient', 'too', 'long', 'class', 'hour', 'schedule', 'should', 'be', 'discouraged']"
['psv'],"['encourage', 'the', 'faculty', 'to', 'complete', 'their', 'relevant', 'graduate', 'courses']"
['psv'],"['for', 'various', 'learning', 'opportunities', 'it', 'is', 'recommended', 'that', 'graduate', 'studies', 'be', 'pursued', 'in', 'other', 'colleges', 'or', 'universities']"
['psv'],"['to', 'facilitate', 'classroom', 'instruction', 'the', 'faculty', 'members', 'are', 'encouraged', 'to', 'come', 'up', 'with', 'instructional', 'materials', 'that', 'will', 'also', 'earn', 'them', 'points', 'for', 'promotion', 'as', 'required', 'by', 'nbc']"
['psv'],"['the', 'distribution', 'of', 'equivalent', 'teaching', 'load', 'should', 'be', 'reviewed', 'and', 'this', 'could', 'be', 'deliberated', 'productively', 'during', 'faculty', 'meetings', 'to', 'get', 'feedbacks']"
['psv'],"['for', 'easy', 'reference', 'consultation', 'hours', 'of', 'faculty', 'should', 'be', 'indicated', 'in', 'their', 'schedules']"
['psv'],"['faculty', 'members', 'are', 'encouraged', 'to', 'conduct', 'researches', 'if', 'the', 'university', 'budget', 'warrants', 'incentives', 'for', 'faculty', 'researchers', 'may', 'be', 'granted']"
['psv'],"['for', 'professional', 'advancement', 'and', 'updating', 'the', 'faculty', 'are', 'encouraged', 'to', 'search', 'and', 'establish', 'possible', 'linkages']"
['psv'],"['all', 'facultyrelated', 'activities', 'should', 'be', 'properly', 'documented', 'for', 'purposes', 'of', 'evaluation', 'and', 'planning']"
['psv'],"['the', 'college', 'of', 'arts', 'and', 'sciences', 'can', 'come', 'up', 'with', 'inservice', 'seminar', 'for', 'faculty', 'from', 'various', 'departments']"
